127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/images/button_icon/clearusertree.png HTTP/1.1" 200 623
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/images/button_icon/favoriteadd.png HTTP/1.1" 200 742
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/extjs/resources/ext-theme-classic/images/tree/folder.gif HTTP/1.1" 200 351
127.0.0.1 - - [21/Jan/2016:10:17:08 +0800] "GET /KanBan/extjs/resources/ext-theme-classic/images/tree/arrows.gif HTTP/1.1" 200 619
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "POST /KanBan/Funcs/Main/Index.dsc?_dc=1453342629065 HTTP/1.1" 200 373
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "GET /KanBan/extjs/resources/ext-theme-classic/images/tree/loading.gif HTTP/1.1" 200 771
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "POST /KanBan/Funcs/Main/Index.dsc HTTP/1.1" 200 65
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "POST /KanBan/Funcs/Main/Index.dsc?_dc=1453342629234 HTTP/1.1" 200 24
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "POST /KanBan/Funcs/Main/Index.dsc?_dc=1453342629187 HTTP/1.1" 200 24
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "POST /KanBan/Funcs/Main/Index.dsc?_dc=1453342629171 HTTP/1.1" 200 1675
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "GET /KanBan/extjs/resources/ext-theme-classic/images/tree/leaf.gif HTTP/1.1" 200 945
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "GET /KanBan/extjs/resources/ext-theme-classic/images/tree/folder-open.gif HTTP/1.1" 200 356
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "POST /KanBan/Funcs/Main/Index.dsc?_dc=1453342629403 HTTP/1.1" 200 24
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "POST /KanBan/Funcs/Main/Index.dsc?_dc=1453342629401 HTTP/1.1" 200 2061
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "POST /KanBan/Funcs/Main/Index.dsc?_dc=1453342629416 HTTP/1.1" 200 24
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "POST /KanBan/Funcs/Main/Index.dsc?_dc=1453342629406 HTTP/1.1" 200 24
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "POST /KanBan/Funcs/Main/Index.dsc?_dc=1453342629402 HTTP/1.1" 200 24
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "POST /KanBan/Funcs/Main/Index.dsc?_dc=1453342629419 HTTP/1.1" 200 24
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "POST /KanBan/Funcs/Main/Index.dsc?_dc=1453342629410 HTTP/1.1" 200 24
127.0.0.1 - - [21/Jan/2016:10:17:09 +0800] "POST /KanBan/Funcs/Main/Index.dsc?_dc=1453342629407 HTTP/1.1" 200 24
127.0.0.1 - - [21/Jan/2016:10:17:15 +0800] "GET /KanBan/extjs/resources/ext-theme-classic/images/shared/icon-question.gif HTTP/1.1" 200 1607
127.0.0.1 - - [21/Jan/2016:10:17:15 +0800] "POST /KanBan/Login.dsc HTTP/1.1" 200 29
127.0.0.1 - - [21/Jan/2016:10:17:15 +0800] "GET /KanBan/ HTTP/1.1" 200 3573
127.0.0.1 - - [21/Jan/2016:10:17:15 +0800] "GET /KanBan/extjs/js/ext-all.js HTTP/1.1" 304 -
127.0.0.1 - - [21/Jan/2016:10:17:15 +0800] "GET /KanBan/dcijs/dci-all.js HTTP/1.1" 304 -
127.0.0.1 - - [21/Jan/2016:10:17:15 +0800] "POST /KanBan/DCIAppDatas.dsc?_dc=1453342635935 HTTP/1.1" 200 802
127.0.0.1 - - [21/Jan/2016:10:17:19 +0800] "GET /KanBan/FuncViews/Configs/SysDBConfig.jsp HTTP/1.1" 200 1193
127.0.0.1 - - [21/Jan/2016:10:17:19 +0800] "GET /KanBan/extjs/resources/css/ext-all.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Jan/2016:10:17:19 +0800] "GET /KanBan/dcijs/dci-datas.js HTTP/1.1" 304 -
